turbine,number_of_turbines,annual_generation_mwh,annual_demand_mwh,coverage_percent,grid_required_mwh,turbine_capex_per_unit_dkk,total_capex_dkk,annual_opex_dkk,annual_savings_dkk,net_annual_savings_dkk,payback_years,lcoe_dkk_per_mwh
Vestas V136 4.5 MW,1,9488.82,256211.0,3.7,246722.18,42000000,57000000,1050000.0,13948565.4,12898565.4,4.42,411.01
Vestas V136 4.5 MW,3,28466.46,256211.0,11.11,227744.54,42000000,141000000,3150000.0,41845696.2,38695696.2,3.64,358.32
Vestas V136 4.5 MW,5,47444.1,256211.0,18.52,208766.9,42000000,225000000,5250000.0,69742827.0,64492827.0,3.49,347.78
Vestas V136 4.5 MW,10,94888.2,256211.0,37.04,161322.8,42000000,435000000,10500000.0,139485654.0,128985654.0,3.37,339.87
Siemens Gamesa SG 5.0-145,1,8868.38,256211.0,3.46,247342.62,47000000,62000000,1175000.0,13036518.6,11861518.6,5.23,482.05
Siemens Gamesa SG 5.0-145,3,26605.14,256211.0,10.38,229605.86,47000000,156000000,3525000.0,39109555.8,35584555.8,4.38,425.67
Siemens Gamesa SG 5.0-145,5,44341.9,256211.0,17.31,211869.1,47000000,250000000,5875000.0,65182593.0,59307593.0,4.22,414.39
Siemens Gamesa SG 5.0-145,10,88683.8,256211.0,34.61,167527.2,47000000,485000000,11750000.0,130365186.0,118615186.0,4.09,405.94
Nordex N149 5.X,1,10109.96,256211.0,3.95,246101.04,52000000,67000000,1300000.0,14861641.2,13561641.2,4.94,459.94
Nordex N149 5.X,3,30329.88,256211.0,11.84,225881.12,52000000,171000000,3900000.0,44584923.6,40684923.6,4.2,410.49
Nordex N149 5.X,5,50549.8,256211.0,19.73,205661.2,52000000,275000000,6500000.0,74308206.0,67808206.0,4.06,400.6
Nordex N149 5.X,10,101099.6,256211.0,39.46,155111.4,52000000,535000000,13000000.0,148616412.0,135616412.0,3.94,393.18
Enercon E-138 EP3,1,7833.09,256211.0,3.06,248377.91,40000000,55000000,1000000.0,11514642.3,10514642.3,5.23,478.74
Enercon E-138 EP3,3,23499.27,256211.0,9.17,232711.73,40000000,135000000,3000000.0,34543926.9,31543926.9,4.28,414.91
Enercon E-138 EP3,5,39165.45,256211.0,15.29,217045.55,40000000,215000000,5000000.0,57573211.5,52573211.5,4.09,402.14
Enercon E-138 EP3,10,78330.9,256211.0,30.57,177880.1,40000000,415000000,10000000.0,115146423.0,105146423.0,3.95,392.57
