turbine,number_of_turbines,forecast_generation_mwh,estimated_7d_demand_mwh,grid_required_mwh,coverage_percent,forecast_method
Vestas V136 4.5 MW,1,79.73,4913.64,4833.91,1.62,Physical turbine power curve
Vestas V136 4.5 MW,2,159.46,4913.64,4754.18,3.25,Physical turbine power curve
Vestas V136 4.5 MW,3,239.18,4913.64,4674.45,4.87,Physical turbine power curve
Vestas V136 4.5 MW,5,398.64,4913.64,4514.99,8.11,Physical turbine power curve
Vestas V136 4.5 MW,10,797.28,4913.64,4116.35,16.23,Physical turbine power curve
Siemens Gamesa SG 5.0-145,1,98.93,4913.64,4814.7,2.01,Physical turbine power curve
Siemens Gamesa SG 5.0-145,2,197.86,4913.64,4715.77,4.03,Physical turbine power curve
Siemens Gamesa SG 5.0-145,3,296.79,4913.64,4616.84,6.04,Physical turbine power curve
Siemens Gamesa SG 5.0-145,5,494.66,4913.64,4418.98,10.07,Physical turbine power curve
Siemens Gamesa SG 5.0-145,10,989.31,4913.64,3924.32,20.13,Physical turbine power curve
Nordex N149 5.X,1,79.21,4913.64,4834.43,1.61,Physical turbine power curve
Nordex N149 5.X,2,158.42,4913.64,4755.21,3.22,Physical turbine power curve
Nordex N149 5.X,3,237.63,4913.64,4676.0,4.84,Physical turbine power curve
Nordex N149 5.X,5,396.05,4913.64,4517.58,8.06,Physical turbine power curve
Nordex N149 5.X,10,792.1,4913.64,4121.53,16.12,Physical turbine power curve
Enercon E-138 EP3,1,66.33,4913.64,4847.31,1.35,Physical turbine power curve
Enercon E-138 EP3,2,132.65,4913.64,4780.98,2.7,Physical turbine power curve
Enercon E-138 EP3,3,198.98,4913.64,4714.65,4.05,Physical turbine power curve
Enercon E-138 EP3,5,331.64,4913.64,4582.0,6.75,Physical turbine power curve
Enercon E-138 EP3,10,663.27,4913.64,4250.37,13.5,Physical turbine power curve
