time,wind_speed_100m,temperature_2m
2026-07-27 00:00:00,6.5,15.4
2026-07-27 01:00:00,7.28,14.9
2026-07-27 02:00:00,8.81,14.8
2026-07-27 03:00:00,9.01,14.1
2026-07-27 04:00:00,9.43,13.6
2026-07-27 05:00:00,9.38,13.3
2026-07-27 06:00:00,9.09,13.6
2026-07-27 07:00:00,9.98,14.2
2026-07-27 08:00:00,10.57,14.7
2026-07-27 09:00:00,10.1,15.2
2026-07-27 10:00:00,10.74,16.2
2026-07-27 11:00:00,11.43,16.8
2026-07-27 12:00:00,12.18,17.7
2026-07-27 13:00:00,12.83,18.1
2026-07-27 14:00:00,13.02,18.8
2026-07-27 15:00:00,14.28,18.7
2026-07-27 16:00:00,13.95,18.4
2026-07-27 17:00:00,13.37,17.8
2026-07-27 18:00:00,12.96,17.3
2026-07-27 19:00:00,13.56,16.8
2026-07-27 20:00:00,13.09,16.0
2026-07-27 21:00:00,13.17,15.5
2026-07-27 22:00:00,12.36,15.1
2026-07-27 23:00:00,11.61,15.0
2026-07-28 00:00:00,10.88,14.9
2026-07-28 01:00:00,10.37,15.0
2026-07-28 02:00:00,9.86,14.9
2026-07-28 03:00:00,9.75,14.8
2026-07-28 04:00:00,9.32,14.8
2026-07-28 05:00:00,8.7,14.7
2026-07-28 06:00:00,8.21,14.3
2026-07-28 07:00:00,7.69,14.5
2026-07-28 08:00:00,6.57,15.4
2026-07-28 09:00:00,6.66,16.5
2026-07-28 10:00:00,8.05,17.4
2026-07-28 11:00:00,7.65,18.7
2026-07-28 12:00:00,9.23,19.8
2026-07-28 13:00:00,9.72,20.2
2026-07-28 14:00:00,8.77,21.4
2026-07-28 15:00:00,9.91,21.8
2026-07-28 16:00:00,9.64,21.6
2026-07-28 17:00:00,8.99,20.6
2026-07-28 18:00:00,7.43,19.8
2026-07-28 19:00:00,7.13,19.1
2026-07-28 20:00:00,5.99,18.2
2026-07-28 21:00:00,5.46,17.8
2026-07-28 22:00:00,5.53,17.5
2026-07-28 23:00:00,7.33,17.4
2026-07-29 00:00:00,8.12,17.4
2026-07-29 01:00:00,7.66,17.3
2026-07-29 02:00:00,7.23,17.2
2026-07-29 03:00:00,6.67,17.1
2026-07-29 04:00:00,6.51,16.9
2026-07-29 05:00:00,6.55,16.9
2026-07-29 06:00:00,6.62,16.9
2026-07-29 07:00:00,6.45,17.2
2026-07-29 08:00:00,4.75,17.9
2026-07-29 09:00:00,5.08,19.3
2026-07-29 10:00:00,4.9,21.1
2026-07-29 11:00:00,4.92,22.9
2026-07-29 12:00:00,4.85,24.6
2026-07-29 13:00:00,5.41,26.1
2026-07-29 14:00:00,5.5,27.2
2026-07-29 15:00:00,6.08,27.7
2026-07-29 16:00:00,5.81,28.5
2026-07-29 17:00:00,5.63,28.7
2026-07-29 18:00:00,5.81,28.5
2026-07-29 19:00:00,5.51,27.2
2026-07-29 20:00:00,5.02,25.5
2026-07-29 21:00:00,6.02,23.7
2026-07-29 22:00:00,5.97,22.0
2026-07-29 23:00:00,5.89,20.8
2026-07-30 00:00:00,7.73,20.6
2026-07-30 01:00:00,8.28,20.4
2026-07-30 02:00:00,8.34,20.2
2026-07-30 03:00:00,8.01,19.7
2026-07-30 04:00:00,8.12,19.4
2026-07-30 05:00:00,7.94,19.3
2026-07-30 06:00:00,7.03,19.1
2026-07-30 07:00:00,5.76,19.2
2026-07-30 08:00:00,4.01,19.7
2026-07-30 09:00:00,1.98,20.6
2026-07-30 10:00:00,0.11,21.8
2026-07-30 11:00:00,1.49,23.2
2026-07-30 12:00:00,2.62,24.9
